0,2026-05-31T17:13:02.744480
10485760,2026-05-31T17:13:02.746352
11614924,2026-05-31T17:13:02.746487
11642316,2026-05-31T17:13:03.761230
22128076,2026-05-31T17:13:03.776356
32613836,2026-05-31T17:13:03.786640
40536030,2026-05-31T17:13:03.787463
40817914,2026-05-31T17:13:03.787715
40832610,2026-05-31T17:13:03.787847
40835086,2026-05-31T17:13:03.788000
40839656,2026-05-31T17:13:03.788198
40847190,2026-05-31T17:13:03.788398
40852204,2026-05-31T17:13:03.788511
40856212,2026-05-31T17:13:04.803752
51341972,2026-05-31T17:13:04.814943
61827732,2026-05-31T17:13:04.820844
68375401,2026-05-31T17:13:04.821288
68514256,2026-05-31T17:13:04.821523
68541072,2026-05-31T17:13:04.821688
68546795,2026-05-31T17:13:04.821838
68552736,2026-05-31T17:13:04.821969
68562807,2026-05-31T17:13:04.822090
68566321,2026-05-31T17:13:04.822234
68572956,2026-05-31T17:13:04.822424
68577997,2026-05-31T17:13:04.822689
68587021,2026-05-31T17:13:04.822894
68593521,2026-05-31T17:13:04.823087
68601276,2026-05-31T17:13:04.823177
68602424,2026-05-31T17:13:05.835519
79088184,2026-05-31T17:13:05.848400
89573944,2026-05-31T17:13:05.855859
97209568,2026-05-31T17:13:05.856105
97375635,2026-05-31T17:13:05.856278
97383340,2026-05-31T17:13:06.869233
107869100,2026-05-31T17:13:06.881744
118354860,2026-05-31T17:13:06.893813
125821405,2026-05-31T17:13:06.894138
126079142,2026-05-31T17:13:06.894220
126085474,2026-05-31T17:13:06.894293
126091300,2026-05-31T17:13:07.907383
136577060,2026-05-31T17:13:07.918839
147062820,2026-05-31T17:13:07.928295
153936497,2026-05-31T17:13:07.928925
154135587,2026-05-31T17:13:07.929115
154148386,2026-05-31T17:13:07.929266
154156876,2026-05-31T17:13:07.929414
154162114,2026-05-31T17:13:07.929585
154171196,2026-05-31T17:13:08.945699
164656956,2026-05-31T17:13:08.962081
175142716,2026-05-31T17:13:08.967199
181815118,2026-05-31T17:13:08.967399
181886556,2026-05-31T17:13:08.967478
181889840,2026-05-31T17:13:09.981473
192375600,2026-05-31T17:13:09.993847
202861360,2026-05-31T17:13:10.001071
209061927,2026-05-31T17:13:10.001389
209260457,2026-05-31T17:13:10.001525
209281165,2026-05-31T17:13:10.001629
209283908,2026-05-31T17:13:11.018932
219769668,2026-05-31T17:13:11.029854
230255428,2026-05-31T17:13:11.036206
236253468,2026-05-31T17:13:11.036426
236359478,2026-05-31T17:13:11.036640
236361503,2026-05-31T17:13:11.036865
236365411,2026-05-31T17:13:11.037106
236373995,2026-05-31T17:13:11.037336
236382246,2026-05-31T17:13:11.037754
236384425,2026-05-31T17:13:12.050445
246870185,2026-05-31T17:13:12.064084
257355945,2026-05-31T17:13:12.071772
262588911,2026-05-31T17:13:12.072233
262701363,2026-05-31T17:13:12.072444
262721226,2026-05-31T17:13:12.072607
262726754,2026-05-31T17:13:12.072745
262731577,2026-05-31T17:13:12.072893
262736274,2026-05-31T17:13:12.073038
262740848,2026-05-31T17:13:12.073240
262745319,2026-05-31T17:13:12.073408
262753193,2026-05-31T17:13:13.085773
273238953,2026-05-31T17:13:13.100149
283724713,2026-05-31T17:13:13.106514
288703217,2026-05-31T17:13:13.106754
288824783,2026-05-31T17:13:13.106837
288828311,2026-05-31T17:13:14.129887
299314071,2026-05-31T17:13:14.142627
309799831,2026-05-31T17:13:14.148566
314509826,2026-05-31T17:13:14.148740
314599050,2026-05-31T17:13:15.163628
325084810,2026-05-31T17:13:15.174996
335570570,2026-05-31T17:13:15.179750
340067813,2026-05-31T17:13:15.180028
340166465,2026-05-31T17:13:15.180256
340168345,2026-05-31T17:13:15.180495
340181940,2026-05-31T17:13:15.180690
340188371,2026-05-31T17:13:15.181485
340204644,2026-05-31T17:13:15.181733
340221033,2026-05-31T17:13:16.194592
350706793,2026-05-31T17:13:16.207655
361192553,2026-05-31T17:13:16.212617
365507788,2026-05-31T17:13:16.213054
365617111,2026-05-31T17:13:16.213292
365631455,2026-05-31T17:13:16.213521
365638743,2026-05-31T17:13:16.213707
365647304,2026-05-31T17:13:16.213817
365657539,2026-05-31T17:13:16.213897
365659446,2026-05-31T17:13:16.213973
365660153,2026-05-31T17:13:16.214150
365664558,2026-05-31T17:13:16.214244
365674687,2026-05-31T17:13:16.214305
365675292,2026-05-31T17:13:17.227019
376161052,2026-05-31T17:13:17.242171
386646812,2026-05-31T17:13:17.245982
390593517,2026-05-31T17:13:17.246173
390687188,2026-05-31T17:13:17.246311
390689466,2026-05-31T17:13:17.246550
390694507,2026-05-31T17:13:18.259139
401180267,2026-05-31T17:13:18.274225
411666027,2026-05-31T17:13:18.279801
416413080,2026-05-31T17:13:18.280237
416523038,2026-05-31T17:13:18.280492
416527419,2026-05-31T17:13:18.280704
416529107,2026-05-31T17:13:18.281070
416543662,2026-05-31T17:13:18.281266
416554279,2026-05-31T17:13:18.281441
416558549,2026-05-31T17:13:18.281636
416567300,2026-05-31T17:13:18.281811
416567958,2026-05-31T17:13:18.282186
416579002,2026-05-31T17:13:18.282385
416584405,2026-05-31T17:13:18.282563
416587317,2026-05-31T17:13:19.297717
427073077,2026-05-31T17:13:19.307361
437558837,2026-05-31T17:13:19.311551
441368457,2026-05-31T17:13:19.311782
441481347,2026-05-31T17:13:19.311889
441495176,2026-05-31T17:13:20.326087
451980936,2026-05-31T17:13:20.334295
462466696,2026-05-31T17:13:20.335211
463598396,2026-05-31T17:13:21.345996
470248087,2026-05-31T17:13:21.346599
470404746,2026-05-31T17:13:21.346704
470414570,2026-05-31T17:13:21.346773
470419605,2026-05-31T17:13:22.364374
480905365,2026-05-31T17:13:22.375192
491391125,2026-05-31T17:13:22.381650
494026203,2026-05-31T17:13:22.382149
494099776,2026-05-31T17:13:22.382537
494137552,2026-05-31T17:13:23.395962
504623312,2026-05-31T17:13:23.406572
515109072,2026-05-31T17:13:23.409004
517814783,2026-05-31T17:13:23.409219
517883220,2026-05-31T17:13:23.409391
517890190,2026-05-31T17:13:23.409524
517894710,2026-05-31T17:13:23.409659
517896565,2026-05-31T17:13:23.409823
517900939,2026-05-31T17:13:23.409951
517903285,2026-05-31T17:13:23.410079
517905561,2026-05-31T17:13:23.410203
517907321,2026-05-31T17:13:23.410345
517912745,2026-05-31T17:13:23.410474
517913186,2026-05-31T17:13:24.427607
528398946,2026-05-31T17:13:24.441866
538884706,2026-05-31T17:13:24.448276
543282723,2026-05-31T17:13:24.448600
543428924,2026-05-31T17:13:24.448781
543453914,2026-05-31T17:13:24.449055
543459175,2026-05-31T17:13:24.449233
543473934,2026-05-31T17:13:24.449383
543476624,2026-05-31T17:13:25.459766
553962384,2026-05-31T17:13:25.469480
564448144,2026-05-31T17:13:25.474566
569559289,2026-05-31T17:13:25.475143
